question,tsne1,tsne2,question_type,question_type_id,kmeans_k6,dbscan_e2_s7
What are the complications of Coal worker's pneumoconiosis ?,53.6676,-13.712558,complications,1,2,3
How to prevent Coal worker's pneumoconiosis ?,53.6676,-13.712559,prevention,9,2,3
What is (are) Ischemic ulcers - self-care ?,-25.092339,15.808481,information,6,4,0
What causes Ischemic ulcers - self-care ?,-25.092337,15.808481,causes,0,4,0
What are the symptoms of Ischemic ulcers - self-care ?,-25.09234,15.808481,symptoms,10,4,0
How to prevent Ischemic ulcers - self-care ?,-25.092337,15.808481,prevention,9,4,0
What is (are) Chronic lymphocytic leukemia (CLL) ?,-62.53041,35.870304,information,6,4,4
What causes Chronic lymphocytic leukemia (CLL) ?,-62.53199,35.871204,causes,0,4,4
What are the symptoms of Chronic lymphocytic leukemia (CLL) ?,-62.532364,35.872906,symptoms,10,4,4
How to diagnose Chronic lymphocytic leukemia (CLL) ?,-62.532402,35.87295,exams_tests,3,4,4
What are the treatments for Chronic lymphocytic leukemia (CLL) ?,-62.53237,35.872913,treatment,11,4,4
What is the outlook for Chronic lymphocytic leukemia (CLL) ?,-62.532417,35.872967,outlook,8,4,4
What are the complications of Chronic lymphocytic leukemia (CLL) ?,-62.532413,35.872967,complications,1,4,4
Do I need to see a doctor for Chronic lymphocytic leukemia (CLL) ?,-62.532776,35.873497,contact_medical_professional,2,4,4
What is (are) Stomach cancer ?,61.598103,-62.370956,information,6,5,5
What causes Stomach cancer ?,61.598103,-62.370953,causes,0,5,5
What are the symptoms of Stomach cancer ?,61.5981,-62.370956,symptoms,10,5,5
How to diagnose Stomach cancer ?,61.598106,-62.370956,exams_tests,3,5,5
What are the treatments for Stomach cancer ?,61.5981,-62.370956,treatment,11,5,5
What is the outlook for Stomach cancer ?,61.598106,-62.37096,outlook,8,5,5
Do I need to see a doctor for Stomach cancer ?,61.59811,-62.370964,contact_medical_professional,2,5,5
How to prevent Stomach cancer ?,61.598106,-62.370956,prevention,9,5,5
What is (are) Autonomic neuropathy ?,-40.88049,38.83509,information,6,4,6
What causes Autonomic neuropathy ?,-40.880486,38.83509,causes,0,4,6
What are the symptoms of Autonomic neuropathy ?,-40.88048,38.83509,symptoms,10,4,6
How to diagnose Autonomic neuropathy ?,-40.88048,38.835087,exams_tests,3,4,6
What are the treatments for Autonomic neuropathy ?,-40.880486,38.83509,treatment,11,4,6
What is the outlook for Autonomic neuropathy ?,-40.880486,38.835087,outlook,8,4,6
Do I need to see a doctor for Autonomic neuropathy ?,-40.88049,38.835094,contact_medical_professional,2,4,6
How to prevent Autonomic neuropathy ?,-40.880486,38.83509,prevention,9,4,6
Do you have information about Suprapubic catheter care,-20.48434,6.1985846,information,6,0,0
Do you have information about Calorie count - Alcoholic beverages,6.957413,2.5843704,information,6,0,0
What is (are) Balanitis ?,-34.752857,74.2899,information,6,4,7
What causes Balanitis ?,-34.752857,74.2899,causes,0,4,7
What are the symptoms of Balanitis ?,-34.75286,74.2899,symptoms,10,4,7
How to diagnose Balanitis ?,-34.75286,74.2899,exams_tests,3,4,7
What are the treatments for Balanitis ?,-34.75286,74.28991,treatment,11,4,7
What is the outlook for Balanitis ?,-34.75286,74.2899,outlook,8,4,7
What are the complications of Balanitis ?,-34.75286,74.28991,complications,1,4,7
Do I need to see a doctor for Balanitis ?,-34.75286,74.289894,contact_medical_professional,2,4,7
How to prevent Balanitis ?,-34.75286,74.28991,prevention,9,4,7
What is (are) Tenesmus ?,-40.44661,5.581374,information,6,4,0
What causes Tenesmus ?,-40.44661,5.581374,causes,0,4,0
Do I need to see a doctor for Tenesmus ?,-40.44661,5.5813737,contact_medical_professional,2,4,0
What is the outlook for Tenesmus ?,-40.44661,5.5813737,outlook,8,4,0
What is (are) Atelectasis ?,-51.479465,66.51511,information,6,4,8
What causes Atelectasis ?,-51.47946,66.51512,causes,0,4,8
What are the symptoms of Atelectasis ?,-51.479465,66.515114,symptoms,10,4,8
How to diagnose Atelectasis ?,-51.47947,66.51511,exams_tests,3,4,8
What are the treatments for Atelectasis ?,-51.47947,66.515114,treatment,11,4,8
What is the outlook for Atelectasis ?,-51.479465,66.51511,outlook,8,4,8
What are the complications of Atelectasis ?,-51.479465,66.515114,complications,1,4,8
Do I need to see a doctor for Atelectasis ?,-51.479465,66.515114,contact_medical_professional,2,4,8
How to prevent Atelectasis ?,-51.479465,66.515114,prevention,9,4,8
Do you have information about Liver scan,-1.3745066,-2.0041773,information,6,0,0
Do you have information about Healthy food trends -- chia seeds,100.04048,6.0890155,information,6,2,-1
What is (are) Toxic synovitis ?,6.2338986,43.16793,information,6,1,9
What causes Toxic synovitis ?,6.2338986,43.167934,causes,0,1,9
What are the symptoms of Toxic synovitis ?,6.2338986,43.16793,symptoms,10,1,9
How to diagnose Toxic synovitis ?,6.2338986,43.16794,exams_tests,3,1,9
What are the treatments for Toxic synovitis ?,6.233898,43.167934,treatment,11,1,9
What is the outlook for Toxic synovitis ?,6.2338986,43.16794,outlook,8,1,9
What are the complications of Toxic synovitis ?,6.2338986,43.16794,complications,1,1,9
Do I need to see a doctor for Toxic synovitis ?,6.2338986,43.16793,contact_medical_professional,2,1,9
What is (are) Pick disease ?,39.704197,-38.592583,information,6,5,10
What causes Pick disease ?,39.704197,-38.592587,causes,0,5,10
What are the symptoms of Pick disease ?,39.704193,-38.592587,symptoms,10,5,10
How to diagnose Pick disease ?,39.704197,-38.592587,exams_tests,3,5,10
What are the treatments for Pick disease ?,39.704197,-38.592583,treatment,11,5,10
What is the outlook for Pick disease ?,39.704197,-38.592587,outlook,8,5,10
Do I need to see a doctor for Pick disease ?,39.704197,-38.592587,contact_medical_professional,2,5,10
How to prevent Pick disease ?,39.704197,-38.592587,prevention,9,5,10
What is (are) Minor burns - aftercare ?,-16.310143,18.466015,information,6,0,0
What is the outlook for Minor burns - aftercare ?,-16.31014,18.466015,outlook,8,0,0
Do I need to see a doctor for Minor burns - aftercare ?,-16.310139,18.466015,contact_medical_professional,2,0,0
Do you have information about Biopsy,-17.816078,-10.469759,information,6,0,0
What is (are) Fibrocystic breast disease ?,38.135807,-27.161213,information,6,5,11
What causes Fibrocystic breast disease ?,38.135807,-27.161211,causes,0,5,11
What are the symptoms of Fibrocystic breast disease ?,38.13581,-27.161211,symptoms,10,5,11
How to diagnose Fibrocystic breast disease ?,38.13581,-27.161213,exams_tests,3,5,11
What are the treatments for Fibrocystic breast disease ?,38.135807,-27.161211,treatment,11,5,11
What is the outlook for Fibrocystic breast disease ?,38.135803,-27.161213,outlook,8,5,11
Do I need to see a doctor for Fibrocystic breast disease ?,38.13581,-27.161213,contact_medical_professional,2,5,11
What is (are) Death among children and adolescents ?,-1.1565067,-2.9674816,information,6,0,0
What is (are) Achilles tendon rupture - aftercare ?,-12.114554,17.662584,information,6,0,0
What is the outlook for Achilles tendon rupture - aftercare ?,-12.114555,17.662588,outlook,8,0,0
Do I need to see a doctor for Achilles tendon rupture - aftercare ?,-12.114554,17.662586,contact_medical_professional,2,0,0
Do you have information about Colonoscopy discharge,-6.098447,94.63489,information,6,1,-1
What is (are) Substance use disorder ?,39.462128,-71.59839,information,6,5,12
What causes Substance use disorder ?,39.462124,-71.5984,causes,0,5,12
What are the symptoms of Substance use disorder ?,39.462128,-71.5984,symptoms,10,5,12
How to diagnose Substance use disorder ?,39.462124,-71.5984,exams_tests,3,5,12
What are the treatments for Substance use disorder ?,39.462135,-71.59842,treatment,11,5,12
What is the outlook for Substance use disorder ?,39.462128,-71.59839,outlook,8,5,12
Do I need to see a doctor for Substance use disorder ?,39.4622,-71.59851,contact_medical_professional,2,5,12
How to prevent Substance use disorder ?,39.462124,-71.59839,prevention,9,5,12
Do you have information about PPD skin test,84.47839,22.604225,information,6,2,-1
Do you have information about Piperonyl butoxide with pyrethrins poisoning,0.04260458,7.1309314,information,6,0,0
What is (are) Oxazepam overdose ?,-6.9804325,14.985059,information,6,0,0
What are the symptoms of Oxazepam overdose ?,-6.980433,14.98506,symptoms,10,0,0
What is the outlook for Oxazepam overdose ?,-6.9804325,14.985059,outlook,8,0,0
Do you have information about Smoking - tips on how to quit,-1.7818854,-1.9676852,information,6,0,0
Do you have information about Vaccines (immunizations) - overview,79.77085,35.308464,information,6,2,93
Do you have information about Ankle arthroscopy,6.3642335,90.91286,information,6,1,-1
Do you have information about Renal scan,62.10892,65.07819,information,6,1,-1
What is (are) Occupational hearing loss ?,56.975067,-13.614752,information,6,2,13
What causes Occupational hearing loss ?,56.97507,-13.614753,causes,0,2,13
What are the symptoms of Occupational hearing loss ?,56.975067,-13.614753,symptoms,10,2,13
How to diagnose Occupational hearing loss ?,56.975067,-13.614752,exams_tests,3,2,13
What are the treatments for Occupational hearing loss ?,56.97507,-13.614752,treatment,11,2,13
What is the outlook for Occupational hearing loss ?,56.975067,-13.614752,outlook,8,2,13
Do I need to see a doctor for Occupational hearing loss ?,56.975067,-13.614752,contact_medical_professional,2,2,13
How to prevent Occupational hearing loss ?,56.975067,-13.614752,prevention,9,2,13
What is (are) Factor II deficiency ?,-17.304585,43.216366,information,6,4,14
What causes Factor II deficiency ?,-17.239456,43.176674,causes,0,4,14
What are the symptoms of Factor II deficiency ?,-18.665081,42.27585,symptoms,10,4,14
How to diagnose Factor II deficiency ?,-17.239382,43.176064,exams_tests,3,4,14
What are the treatments for Factor II deficiency ?,-17.362745,42.417255,treatment,11,4,14
What is the outlook for Factor II deficiency ?,-17.304499,43.216805,outlook,8,4,14
What are the complications of Factor II deficiency ?,-17.304441,43.21708,complications,1,4,14
Do I need to see a doctor for Factor II deficiency ?,-17.304314,43.217705,contact_medical_professional,2,4,14
How to prevent Factor II deficiency ?,-17.30444,43.217102,prevention,9,4,14
What is (are) Tricuspid regurgitation ?,-43.950535,39.858067,information,6,4,15
What causes Tricuspid regurgitation ?,-43.95053,39.85807,causes,0,4,15
What are the symptoms of Tricuspid regurgitation ?,-43.95053,39.858067,symptoms,10,4,15
How to diagnose Tricuspid regurgitation ?,-43.95053,39.858067,exams_tests,3,4,15
What are the treatments for Tricuspid regurgitation ?,-43.95053,39.85807,treatment,11,4,15
What is the outlook for Tricuspid regurgitation ?,-43.950535,39.858067,outlook,8,4,15
Do I need to see a doctor for Tricuspid regurgitation ?,-43.950527,39.858067,contact_medical_professional,2,4,15
How to prevent Tricuspid regurgitation ?,-43.950535,39.85807,prevention,9,4,15
What is (are) Stress and your heart ?,9.310487,7.7715483,information,6,0,0
Do I need to see a doctor for Stress and your heart ?,9.310486,7.7715483,contact_medical_professional,2,0,0
Do you have information about Patient portals - An online tool for your health,3.802511,5.7299447,information,6,0,0
What is (are) Glomerular filtration rate ?,79.858284,54.434956,information,6,2,-1
What is (are) Cancer ?,32.778507,22.73682,information,6,2,16
What causes Cancer ?,32.710064,22.720753,causes,0,2,16
What are the symptoms of Cancer ?,32.710133,22.720766,symptoms,10,2,16
How to diagnose Cancer ?,32.778347,22.736773,exams_tests,3,2,16
What are the treatments for Cancer ?,32.77842,22.736792,treatment,11,2,16
What is the outlook for Cancer ?,32.778355,22.736773,outlook,8,2,16
What are the complications of Cancer ?,32.778137,22.736584,complications,1,2,16
Do I need to see a doctor for Cancer ?,33.079346,22.814714,contact_medical_professional,2,2,16
How to prevent Cancer ?,32.778133,22.736584,prevention,9,2,16
Do you have information about Rhinoplasty,-8.3411255,2.9499416,information,6,0,0
What is (are) Sturge-Weber syndrome ?,-35.242393,66.46849,information,6,4,17
What causes Sturge-Weber syndrome ?,-35.242397,66.4685,causes,0,4,17
What are the symptoms of Sturge-Weber syndrome ?,-35.242397,66.4685,symptoms,10,4,17
How to diagnose Sturge-Weber syndrome ?,-35.242397,66.4685,exams_tests,3,4,17
What are the treatments for Sturge-Weber syndrome ?,-35.242393,66.4685,treatment,11,4,17
What is the outlook for Sturge-Weber syndrome ?,-35.242393,66.46849,outlook,8,4,17
What are the complications of Sturge-Weber syndrome ?,-35.242397,66.4685,complications,1,4,17
Do I need to see a doctor for Sturge-Weber syndrome ?,-35.242393,66.4685,contact_medical_professional,2,4,17
How to prevent Sturge-Weber syndrome ?,-35.242397,66.4685,prevention,9,4,17
Do you have information about Nursemaids elbow,-1.380518,-2.0059893,information,6,0,0
What is (are) Burkitt lymphoma ?,54.373043,5.8419824,information,6,2,18
What causes Burkitt lymphoma ?,54.373043,5.8419824,causes,0,2,18
What are the symptoms of Burkitt lymphoma ?,54.37305,5.841983,symptoms,10,2,18
How to diagnose Burkitt lymphoma ?,54.373043,5.8419824,exams_tests,3,2,18
What are the treatments for Burkitt lymphoma ?,54.373043,5.8419824,treatment,11,2,18
What is the outlook for Burkitt lymphoma ?,54.373043,5.8419824,outlook,8,2,18
What are the complications of Burkitt lymphoma ?,54.373047,5.841983,complications,1,2,18
Do I need to see a doctor for Burkitt lymphoma ?,54.373047,5.8419824,contact_medical_professional,2,2,18
What is (are) Metastatic pleural tumor ?,63.980667,-31.202702,information,6,2,19
What causes Metastatic pleural tumor ?,63.980667,-31.2027,causes,0,2,19
What are the symptoms of Metastatic pleural tumor ?,63.980667,-31.202702,symptoms,10,2,19
How to diagnose Metastatic pleural tumor ?,63.980667,-31.202702,exams_tests,3,2,19
What are the treatments for Metastatic pleural tumor ?,63.980667,-31.2027,treatment,11,2,19
What is the outlook for Metastatic pleural tumor ?,63.980663,-31.2027,outlook,8,2,19
What are the complications of Metastatic pleural tumor ?,63.980663,-31.202702,complications,1,2,19
How to prevent Metastatic pleural tumor ?,63.980667,-31.202702,prevention,9,2,19
Do you have information about Lung surgery - discharge,-1.3805323,-2.0060008,information,6,0,0
Do you have information about Radial nerve dysfunction,77.65484,41.703342,information,6,2,1244
Do you have information about Carrying angle of the elbow - excessive,4.010011,9.445266,information,6,0,0
Do you have information about Tensilon test,-0.9020444,-5.7843213,information,6,0,0
What is (are) Hypophosphatemia ?,39.45696,18.883423,information,6,2,20
What causes Hypophosphatemia ?,39.456955,18.883423,causes,0,2,20
What are the symptoms of Hypophosphatemia ?,39.456955,18.883423,symptoms,10,2,20
How to diagnose Hypophosphatemia ?,39.45696,18.883423,exams_tests,3,2,20
What are the treatments for Hypophosphatemia ?,39.45696,18.88342,treatment,11,2,20
What is the outlook for Hypophosphatemia ?,39.45696,18.883423,outlook,8,2,20
Do I need to see a doctor for Hypophosphatemia ?,39.45696,18.883423,contact_medical_professional,2,2,20
What is (are) Preeclampsia ?,-67.54125,4.597041,information,6,4,21
What causes Preeclampsia ?,-67.541275,4.5970397,causes,0,4,21
What are the symptoms of Preeclampsia ?,-67.541275,4.59704,symptoms,10,4,21
How to diagnose Preeclampsia ?,-67.54128,4.5970397,exams_tests,3,4,21
What are the treatments for Preeclampsia ?,-67.54127,4.5970407,treatment,11,4,21
What is the outlook for Preeclampsia ?,-67.54128,4.597039,outlook,8,4,21
What are the complications of Preeclampsia ?,-67.5413,4.5970387,complications,1,4,21
Do I need to see a doctor for Preeclampsia ?,-67.541336,4.5970373,contact_medical_professional,2,4,21
How to prevent Preeclampsia ?,-67.5413,4.597039,prevention,9,4,21
Do you have information about Thiamin,-2.7629855,-10.530871,information,6,0,0
Do you have information about Self catheterization - male,-5.3078876,-12.899014,information,6,0,0
Do you have information about CPR - infant,85.350845,-51.460114,information,6,2,-1
What is (are) Rape (sexual assault) - overview ?,5.067285,-13.965766,information,6,0,0
Do you have information about Pleural fluid Gram stain,1.9379696,-2.0027993,information,6,0,0
What is (are) Aortic arch syndrome ?,-62.862003,-17.115759,information,6,3,-1
What causes Aortic arch syndrome ?,-62.862,-17.115759,causes,0,3,-1
What are the symptoms of Aortic arch syndrome ?,-62.86199,-17.115732,symptoms,10,3,-1
What are the treatments for Aortic arch syndrome ?,-62.862,-17.11576,treatment,11,3,-1
Do you have information about Polysomnography,9.388727,1.5857114,information,6,0,0
What is (are) Substance use - phencyclidine (PCP) ?,-15.752836,4.4698997,information,6,0,0
What are the treatments for Substance use - phencyclidine (PCP) ?,-15.752302,4.4698267,treatment,11,0,0
Do I need to see a doctor for Substance use - phencyclidine (PCP) ?,-15.752883,4.469706,contact_medical_professional,2,0,0
What is (are) Knee pain ?,-45.32809,-18.985,information,6,3,-1
What causes Knee pain ?,-45.32809,-18.984999,causes,0,3,-1
Do I need to see a doctor for Knee pain ?,-45.32809,-18.984999,contact_medical_professional,2,3,-1
What is the outlook for Knee pain ?,-45.328094,-18.984999,outlook,8,3,-1
What is (are) Felty syndrome ?,-77.4214,-39.253742,information,6,3,22
What causes Felty syndrome ?,-77.4214,-39.25375,causes,0,3,22
What are the symptoms of Felty syndrome ?,-77.4214,-39.253746,symptoms,10,3,22
How to diagnose Felty syndrome ?,-77.4214,-39.253773,exams_tests,3,3,22
What are the treatments for Felty syndrome ?,-77.4214,-39.253757,treatment,11,3,22
What is the outlook for Felty syndrome ?,-77.42141,-39.25377,outlook,8,3,22
What are the complications of Felty syndrome ?,-77.42141,-39.25379,complications,1,3,22
Do I need to see a doctor for Felty syndrome ?,-77.421425,-39.253838,contact_medical_professional,2,3,22
How to prevent Felty syndrome ?,-77.42142,-39.25379,prevention,9,3,22
Do you have information about Apolipoprotein B100,-4.7987094,-12.676922,information,6,0,0
What is (are) High blood pressure - what to ask your doctor ?,-17.046938,-72.890884,information,6,5,23
What is (are) Brain herniation ?,39.089027,33.723854,information,6,1,24
What causes Brain herniation ?,39.08903,33.723846,causes,0,1,24
What are the symptoms of Brain herniation ?,39.089027,33.723854,symptoms,10,1,24
How to diagnose Brain herniation ?,39.08903,33.72385,exams_tests,3,1,24
What are the treatments for Brain herniation ?,39.089027,33.72385,treatment,11,1,24
What is the outlook for Brain herniation ?,39.08907,33.723877,outlook,8,1,24
What are the complications of Brain herniation ?,39.08903,33.72385,complications,1,1,24
Do I need to see a doctor for Brain herniation ?,39.089294,33.724186,contact_medical_professional,2,1,24
How to prevent Brain herniation ?,39.08903,33.723854,prevention,9,1,24
What is (are) Amniotic constriction bands ?,25.99545,-52.913242,information,6,5,25
What causes Amniotic constriction bands ?,25.995447,-52.91324,causes,0,5,25
What are the symptoms of Amniotic constriction bands ?,25.995451,-52.913242,symptoms,10,5,25
How to diagnose Amniotic constriction bands ?,25.995451,-52.91324,exams_tests,3,5,25
What are the treatments for Amniotic constriction bands ?,25.995451,-52.913242,treatment,11,5,25
What is the outlook for Amniotic constriction bands ?,25.995451,-52.913242,outlook,8,5,25
What are the complications of Amniotic constriction bands ?,25.99545,-52.913242,complications,1,5,25
Do you have information about Gastric bypass surgery,-1.3759675,-2.0045407,information,6,0,0
Do you have information about Hysterectomy - laparoscopic - discharge,-1.3762995,-2.0046167,information,6,0,0
What is (are) Prognathism ?,-41.32942,12.996304,information,6,4,-1
What causes Prognathism ?,-41.32942,12.996304,causes,0,4,-1
Do I need to see a doctor for Prognathism ?,-41.32942,12.9963045,contact_medical_professional,2,4,-1
What is the outlook for Prognathism ?,-41.32942,12.9963045,outlook,8,4,-1
What is (are) Brain abscess ?,-40.4167,35.697395,information,6,4,26
What causes Brain abscess ?,-40.4167,35.697395,causes,0,4,26
What are the symptoms of Brain abscess ?,-40.41669,35.697395,symptoms,10,4,26
How to diagnose Brain abscess ?,-40.416695,35.697395,exams_tests,3,4,26
What are the treatments for Brain abscess ?,-40.4167,35.69739,treatment,11,4,26
What is the outlook for Brain abscess ?,-40.417255,35.69771,outlook,8,4,26
What are the complications of Brain abscess ?,-40.4167,35.697395,complications,1,4,26
Do I need to see a doctor for Brain abscess ?,-40.41568,35.697605,contact_medical_professional,2,4,26
How to prevent Brain abscess ?,-40.4167,35.69739,prevention,9,4,26
What is (are) Simian crease ?,-3.9653554,23.842918,information,6,0,0
What causes Simian crease ?,-3.9653554,23.84292,causes,0,0,0
What is the outlook for Simian crease ?,-3.9653554,23.842916,outlook,8,0,0
Do you have information about Bacitracin zinc overdose,91.06115,6.7946935,information,6,2,-1
Do you have information about Radical prostatectomy - discharge,5.4416294,-5.5742483,information,6,0,0
Do you have information about ACL reconstruction,-19.524542,-16.691423,information,6,0,0
What is (are) Dental cavities ?,60.873257,25.679363,information,6,2,27
What causes Dental cavities ?,60.873253,25.679363,causes,0,2,27
What are the symptoms of Dental cavities ?,60.873257,25.679361,symptoms,10,2,27
How to diagnose Dental cavities ?,60.873257,25.679361,exams_tests,3,2,27
What are the treatments for Dental cavities ?,60.873257,25.679363,treatment,11,2,27
What is the outlook for Dental cavities ?,60.873253,25.679363,outlook,8,2,27
What are the complications of Dental cavities ?,60.873257,25.679363,complications,1,2,27
Do I need to see a doctor for Dental cavities ?,60.873257,25.679363,contact_medical_professional,2,2,27
How to prevent Dental cavities ?,60.873257,25.679361,prevention,9,2,27
Do you have information about Developmental milestones record - 5 years,57.4859,68.741005,information,6,1,-1
What is (are) Minimal change disease ?,4.9514627,-67.152374,information,6,5,28
What causes Minimal change disease ?,4.9514627,-67.15236,causes,0,5,28
What are the symptoms of Minimal change disease ?,4.9514627,-67.152374,symptoms,10,5,28
How to diagnose Minimal change disease ?,4.9514627,-67.15237,exams_tests,3,5,28
What are the treatments for Minimal change disease ?,4.9514623,-67.15237,treatment,11,5,28
What is the outlook for Minimal change disease ?,4.9514627,-67.152374,outlook,8,5,28
Do I need to see a doctor for Minimal change disease ?,4.9514627,-67.152374,contact_medical_professional,2,5,28
Do you have information about Brain surgery - discharge,72.200935,58.4339,information,6,1,-1
Do you have information about Echocardiogram - children,1.6418524,6.102154,information,6,0,0
Do you have information about Give your heart a workout,-0.7930019,-3.886659,information,6,0,0
What is (are) Ovulation home test ?,-1.1819108,-1.5698956,information,6,0,0
What is (are) Klippel-Trenaunay syndrome ?,-18.327478,-40.359337,information,6,3,-1
What causes Klippel-Trenaunay syndrome ?,-18.327478,-40.359333,causes,0,3,-1
What are the symptoms of Klippel-Trenaunay syndrome ?,-18.327478,-40.359333,symptoms,10,3,-1
How to diagnose Klippel-Trenaunay syndrome ?,-18.327478,-40.359333,exams_tests,3,3,-1
What is the outlook for Klippel-Trenaunay syndrome ?,-18.327478,-40.359337,outlook,8,3,-1
Do you have information about Heart bypass surgery - minimally invasive,-1.3798366,-2.005665,information,6,0,0
Do you have information about Carotid artery surgery - discharge,-8.236046,95.22296,information,6,1,-1
What is (are) Scheie syndrome ?,-1.3880998,-2.0080402,information,6,0,0
What causes Scheie syndrome ?,-1.3879619,-2.0078719,causes,0,0,0
What are the symptoms of Scheie syndrome ?,-1.3866065,-2.0078137,symptoms,10,0,0
How to diagnose Scheie syndrome ?,-1.3879194,-2.0078423,exams_tests,3,0,0
What are the treatments for Scheie syndrome ?,-1.3880336,-2.007912,treatment,11,0,0
What is the outlook for Scheie syndrome ?,-1.3879367,-2.0078495,outlook,8,0,0
What are the complications of Scheie syndrome ?,-1.3878044,-2.007618,complications,1,0,0
Do I need to see a doctor for Scheie syndrome ?,-1.3878623,-2.0073733,contact_medical_professional,2,0,0
How to prevent Scheie syndrome ?,-1.387797,-2.0077586,prevention,9,0,0
What is (are) Facial trauma ?,54.538193,10.44722,information,6,2,29
What causes Facial trauma ?,54.53829,10.447336,causes,0,2,29
What are the symptoms of Facial trauma ?,54.538197,10.44722,symptoms,10,2,29
How to diagnose Facial trauma ?,54.538197,10.447219,exams_tests,3,2,29
What are the treatments for Facial trauma ?,54.538197,10.44722,treatment,11,2,29
What is the outlook for Facial trauma ?,54.538284,10.447336,outlook,8,2,29
What are the complications of Facial trauma ?,54.53819,10.44722,complications,1,2,29
Do I need to see a doctor for Facial trauma ?,54.539288,10.446595,contact_medical_professional,2,2,29
How to prevent Facial trauma ?,54.538197,10.447219,prevention,9,2,29
What is (are) Paroxysmal supraventricular tachycardia (PSVT) ?,11.537275,-58.363144,information,6,5,30
What causes Paroxysmal supraventricular tachycardia (PSVT) ?,11.537273,-58.363144,causes,0,5,30
What are the symptoms of Paroxysmal supraventricular tachycardia (PSVT) ?,11.537283,-58.363174,symptoms,10,5,30
How to diagnose Paroxysmal supraventricular tachycardia (PSVT) ?,11.537273,-58.363144,exams_tests,3,5,30
What are the treatments for Paroxysmal supraventricular tachycardia (PSVT) ?,11.537255,-58.363262,treatment,11,5,30
What is the outlook for Paroxysmal supraventricular tachycardia (PSVT) ?,11.537273,-58.363144,outlook,8,5,30
Do I need to see a doctor for Paroxysmal supraventricular tachycardia (PSVT) ?,11.537273,-58.363144,contact_medical_professional,2,5,30
What is (are) Acute arterial occlusion - kidney ?,61.40236,53.382713,information,6,1,31
What causes Acute arterial occlusion - kidney ?,61.40734,53.384743,causes,0,1,31
What are the symptoms of Acute arterial occlusion - kidney ?,61.407333,53.384735,symptoms,10,1,31
How to diagnose Acute arterial occlusion - kidney ?,61.40734,53.384743,exams_tests,3,1,31
What are the treatments for Acute arterial occlusion - kidney ?,61.407333,53.38474,treatment,11,1,31
What is the outlook for Acute arterial occlusion - kidney ?,61.407356,53.38475,outlook,8,1,31
What are the complications of Acute arterial occlusion - kidney ?,61.407406,53.38478,complications,1,1,31
Do I need to see a doctor for Acute arterial occlusion - kidney ?,61.404297,53.382786,contact_medical_professional,2,1,31
How to prevent Acute arterial occlusion - kidney ?,61.40737,53.38475,prevention,9,1,31
Do you have information about Genital sores - female,1.5016931,-0.9036652,information,6,0,0
Do you have information about Open heart surgery,14.651844,102.23261,information,6,1,-1
What is (are) Bladder stones ?,59.29663,-20.173239,information,6,2,32
What causes Bladder stones ?,59.296627,-20.173239,causes,0,2,32
What are the symptoms of Bladder stones ?,59.29663,-20.173239,symptoms,10,2,32
How to diagnose Bladder stones ?,59.29663,-20.173239,exams_tests,3,2,32
What are the treatments for Bladder stones ?,59.296635,-20.17324,treatment,11,2,32
